ResultID,score,x,y,Match_addr,City,Subregion,Postal,PostalExt,IN_Address,IN_City,IN_Postal
28,100,-117.83130891200,33.86117733340,"1265 N Van Buren St, Anaheim, California, 92807",Anaheim,Orange County,92807,1624,1265 N Van Buren St,Anaheim,92807
29,100,-117.81164377800,33.86163451890,"1275 N Manassero St, Anaheim, California, 92807",Anaheim,Orange County,92807,,1275 N Manassero St,Anaheim,92807
30,100,-117.89365240300,33.81449595270,"1331 S Vernon St, Anaheim, California, 92805",Anaheim,Orange County,92805,,1331 S Vernon St,Anaheim,92805
31,100,-117.90003245600,33.81341301080,"1400 S Allec St, Anaheim, California, 92805",Anaheim,Orange County,92805,6305,1400 S Allec St,Anaheim,92805
32,100,-117.90681887400,33.85500479140,"1415 N Raymond Ave, Anaheim, California, 92801",Anaheim,Orange County,92801,,1415 N Raymond Ave,Anaheim,92801
33,100,-117.88928752700,33.81210899620,"1423 S State College Blvd, Anaheim, California, 92806",Anaheim,Orange County,92806,5718,1423 S State College Blvd,Anaheim,92806
34,100,-117.86123380000,33.86202842640,"1440 N Kraemer Blvd, Anaheim, California, 92806",Anaheim,Orange County,92806,1404,1440 N Kraemer Blvd,Anaheim,92806
35,100,-117.90012890700,33.81163735190,"1455 S Allec St, Anaheim, California, 92805",Anaheim,Orange County,92805,6306,1455 S Allec St,Anaheim,92805
36,100,-117.90587254700,33.80973800730,"1500 S Anaheim Blvd, Anaheim, California, 92805",Anaheim,Orange County,92805,6242,1500 S Anaheim Blvd,Anaheim,92805
37,100,-117.89302595800,33.81067180790,"1501 E Cerritos Ave, Anaheim, California, 92805",Anaheim,Orange County,92805,6400,1501 E Cerritos Ave,Anaheim,92805
38,100,-117.89196403600,33.81450747780,"1515 E Winston Rd, Anaheim, California, 92805",Anaheim,Orange County,92805,6445,1515 E Winston Rd,Anaheim,92805
39,100,-117.91024035700,33.80989902360,"1515 S Manchester Ave, Anaheim, California, 92802",Anaheim,Orange County,92802,2907,1515 S Manchester Ave,Anaheim,92802
40,100,-117.88702298800,33.80884491550,"1540 S Page Ct, Anaheim, California, 92806",Anaheim,Orange County,92806,5801,1540 S Page Ct,Anaheim,92806
41,100,-117.86185380900,33.86375534990,"1600 N Kraemer Blvd, Anaheim, California, 92806",Anaheim,Orange County,92806,1410,1600 N Kraemer Blvd,Anaheim,92806
42,100,-117.89790253100,33.80767999860,"1620 S Lewis St, Anaheim, California, 92805",Anaheim,Orange County,92805,6436,1620 S Lewis St,Anaheim,92805
43,100,-117.89796195800,33.80720038610,"1625 S Lewis St, Anaheim, California, 92805",Anaheim,Orange County,92805,6437,1625 S Lewis St,Anaheim,92805
44,100,-117.85929699300,33.86454098570,"1650 N Kraemer Blvd, Anaheim, California, 92806",Anaheim,Orange County,92806,1410,1650 N Kraemer Blvd,Anaheim,92806
45,100,-117.90421502600,33.80629300320,"1730 S Anaheim Way, Anaheim, California, 92805",Anaheim,Orange County,92805,6537,1730 S Anaheim Way,Anaheim,92805
46,100,-117.94529330800,33.83519665520,"1765 W Penhall Way, Anaheim, California, 92801",Anaheim,Orange County,92801,6728,1765 Penhall Way,Anaheim,92801
47,100,-117.89795357600,33.80482990010,"1771 S Lewis St, Anaheim, California, 92805",Anaheim,Orange County,92805,6439,1771 S Lewis St,Anaheim,92805
48,100,-117.88929741700,33.80071798980,"1919 S State College Blvd, Anaheim, California, 92806",Anaheim,Orange County,92806,6114,1919 S State College Blvd,Anaheim,92806
49,100,-117.88906616100,33.79766697710,"2040 S State College Blvd, Anaheim, California, 92806",Anaheim,Orange County,92806,6116,2040 S State College Blvd,Anaheim,92806
50,100,-117.95560296500,33.81778249690,"2114 W Ball Rd, Anaheim, California, 92804",Anaheim,Orange County,92804,5417,2114 W Ball Rd,Anaheim,92804
51,100,-117.88648704900,33.81449821580,"2121 E Winston Rd, Anaheim, California, 92806",Anaheim,Orange County,92806,5535,2121 E Winston Rd,Anaheim,92806
52,100,-117.88574600500,33.81065750210,"2201 E Cerritos Ave, Anaheim, California, 92806",Anaheim,Orange County,92806,5710,2201 E Cerritos Ave,Anaheim,92806
53,100,-117.86863409800,33.85587883360,"2891 E Miraloma Ave, Anaheim, California, 92806",Anaheim,Orange County,92806,1804,2891 E Miraloma Ave,Anaheim,92806
54,100,-117.91493607500,33.85957233780,"295 E Orangethorpe Ave, Anaheim, California, 92801",Anaheim,Orange County,92801,1211,295 E Orangethorpe Ave,Anaheim,92801
55,100,-117.85694260100,33.85501985620,"3125 E Coronado St, Anaheim, California, 92806",Anaheim,Orange County,92806,1915,3125 E Coronado St,Anaheim,92806
56,100,-117.85799553500,33.85850676980,"3130 E Miraloma Ave, Anaheim, California, 92806",Anaheim,Orange County,92806,1906,3130 Miraloma Ave,Anaheim,92806
57,100,-117.85622636700,33.85894736450,"3190 E Miraloma Ave, Anaheim, California, 92806",Anaheim,Orange County,92806,1906,3190 Miraloma Ave,Anaheim,92806
58,100,-117.85389276100,33.85953351100,"3310 E Miraloma Ave, Anaheim, California, 92806",Anaheim,Orange County,92806,1911,3310 E Miraloma Ave,Anaheim,92806
59,100,-117.85013978600,33.85298492280,"3335 E La Palma Ave, Anaheim, California, 92806",Anaheim,Orange County,92806,2815,3335 E La Palma Ave,Anaheim,92806
60,100,-117.84995276400,33.85294349110,"3340 E La Palma Ave, Anaheim, California, 92806",Anaheim,Orange County,92806,2814,3340 E La Palma Ave,Anaheim,92806
61,100,-117.84848366800,33.85331573140,"3356 E La Palma Ave, Anaheim, California, 92806",Anaheim,Orange County,92806,2814,3356 E La Palma Ave,Anaheim,92806
62,100,-117.84540507800,33.86168040980,"3454 E Miraloma Ave, Anaheim, California, 92806",Anaheim,Orange County,92806,2101,3454 E Miraloma Ave,Anaheim,92806
63,100,-117.94176695800,33.83500529630,"353 N Euclid Way, Anaheim, California, 92801",Anaheim,Orange County,92801,6749,353 N Euclid Way,Anaheim,92801
64,100,-117.83478110000,33.85922178810,"3845 E Coronado St, Anaheim, California, 92807",Anaheim,Orange County,92807,1649,3845 E Coronado St,Anaheim,92807
65,100,-117.91622252100,33.85755798030,"400 E Orangethorpe Ave, Anaheim, California, 92801",Anaheim,Orange County,92801,1046,400 E Orangethorpe Ave,Anaheim,92801
66,100,-117.81545896900,33.85953745050,"4633 E La Palma Ave, Anaheim, California, 92807",Anaheim,Orange County,92807,1909,4633 E La Palma Ave,Anaheim,92807
67,100,-117.81236319700,33.86401464410,"4875 E Hunter Ave, Anaheim, California, 92807",Anaheim,Orange County,92807,2005,4875 E Hunter Ave,Anaheim,92807
68,100,-117.90224603300,33.81057246770,"500 E Cerritos Ave, Anaheim, California, 92805",Anaheim,Orange County,92805,6321,500 E Cerritos Ave,Anaheim,92805
69,100,-117.91251596000,33.85950253990,"500 E Orangethorpe Ave, Anaheim, California, 92801",Anaheim,Orange County,92801,1021,500 E Orangethorpe Ave,Anaheim,92801
70,100,-117.80745802300,33.85951238860,"5001 E La Palma Ave, Anaheim, California, 92807",Anaheim,Orange County,92807,,5001 E La Palma Ave,Anaheim,92807
71,100,-117.80394399400,33.85953749240,"5115 E La Palma Ave, Anaheim, California, 92807",Anaheim,Orange County,92807,2018,5115 E La Palma Ave,Anaheim,92807
72,100,-117.80362900200,33.85948250720,"5200 E La Palma Ave, Anaheim, California, 92807",Anaheim,Orange County,92807,2019,5200 E La Palma Ave,Anaheim,92807
73,100,-117.80344242100,33.86281360120,"5235 E Hunter Ave, Anaheim, California, 92807",Anaheim,Orange County,92807,2004,5235 E Hunter Ave,Anaheim,92807
74,100,-117.80175598200,33.86283744770,"5325 E Hunter Ave, Anaheim, California, 92807",Anaheim,Orange County,92807,2054,5325 E Hunter Ave,Anaheim,92807
75,100,-117.79680018200,33.85986120150,"5425 E La Palma Ave, Anaheim, California, 92807",Anaheim,Orange County,92807,2022,5425 E La Palma Ave,Anaheim,92807
76,100,-117.79411663200,33.86208253160,"5455 E La Palma Ave, Anaheim, California, 92807",Anaheim,Orange County,92807,2006,5455 E La Palma Ave,Anaheim,92807
77,100,-117.90344397400,33.82002398550,"601 E Ball Rd, Anaheim, California, 92805",Anaheim,Orange County,92805,5910,601 E Ball Rd,Anaheim,92805
78,100,-117.90051902500,33.81806253630,"710 E Ball Rd, Anaheim, California, 92805",Anaheim,Orange County,92805,5949,710 E Ball Rd,Anaheim,92805
79,100,-117.89949199100,33.81811752160,"901 E Ball Rd, Anaheim, California, 92805",Anaheim,Orange County,92805,5916,901 E Ball Rd,Anaheim,92805
80,100,-117.90117637400,33.82910255240,"929 E South St, Anaheim, California, 92805",Anaheim,Orange County,92805,,929 E South St,Anaheim,92805
81,100,-118.00051094800,34.08870742460,"12321 Lower Azusa Rd, Arcadia, California, 91006",Arcadia,Los Angeles County,91006,5889,12321 Lower Azusa Rd,Arcadia,91006
82,100,-117.99926835700,34.08926536700,"12339 Lower Azusa Rd, Arcadia, California, 91006",Arcadia,Los Angeles County,91006,5889,12339 Lower Azusa Rd,Arcadia,91006
83,100,-117.99812773700,34.09011980350,"12359 Lower Azusa Rd, Arcadia, California, 91006",Arcadia,Los Angeles County,91006,5889,12359 Lower Azusa Rd,Arcadia,91006
84,100,-117.99606216000,34.09148199420,"12389 Lower Azusa Rd, Arcadia, California, 91006",Arcadia,Los Angeles County,91006,5889,12389 Lower Azusa Rd,Arcadia,91006
85,100,-117.92287909300,34.14298399540,"1000 W Sierra Madre Ave, Azusa, California, 91702",Azusa,Los Angeles County,91702,1700,1000 W Sierra Madre Ave,Azusa,91702
86,100,-117.92120221000,34.12996203830,"1017 W 5th St, Azusa, California, 91702",Azusa,Los Angeles County,91702,,1017 W 5th St,Azusa,91702
87,100,-117.92248979200,34.13630735400,"1055 W 8th St, Azusa, California, 91702",Azusa,Los Angeles County,91702,2248,1055 W 8th St,Azusa,91702
88,100,-117.92400604000,34.12724751710,"1100 W Hollyvale St, Azusa, California, 91702",Azusa,Los Angeles County,91702,,1100 W Hollyvale St,Azusa,91702
89,97,-117.92482068700,34.13985734140,"1223 W 10th St, Azusa, California, 91702",Azusa,Los Angeles County,91702,,1223 W 10th Ave,Azusa,91702
90,100,-117.92838592000,34.13354639160,"1344 W Foothill Blvd, Azusa, California, 91702",Azusa,Los Angeles County,91702,2846,1344 W Foothill Blvd,Azusa,91702
91,100,-117.92760915000,34.12793466240,"311 Aerojet Ave, Azusa, California, 91702",Azusa,Los Angeles County,91702,3239,311 Aerojet Ave,Azusa,91702
92,98,-117.91252425800,34.13629972100,"500 W Danlee St, Azusa, California, 91702",Azusa,Los Angeles County,91702,2341,500 W Danlee Dr,Azusa,91702
93,100,-117.92532090900,34.11146858430,"601 S Vincent Ave, Azusa, California, 91702",Azusa,Los Angeles County,91702,5102,601 S Vincent Ave,Azusa,91702
94,100,-117.93367255400,34.12596948640,"6230 N Irwindale Ave, Azusa, California, 91702",Azusa,Los Angeles County,91702,3208,6230 N Irwindale Ave,Azusa,91702
95,100,-117.91739773100,34.13612735260,"823 W 8th St, Azusa, California, 91702",Azusa,Los Angeles County,91702,2247,823 W 8th St,Azusa,91702
96,100,-117.92133782900,34.14249956340,"970 W Sierra Madre Ave, Azusa, California, 91702",Azusa,Los Angeles County,91702,1873,970 W Sierra Madre Ave,Azusa,91702
97,100,-117.92000208300,34.13629733760,"975 W 8th St, Azusa, California, 91702",Azusa,Los Angeles County,91702,2246,975 W 8th St,Azusa,91702
98,100,-117.98368812400,34.06556333140,"1100 Baldwin Park Blvd, Baldwin Park, California, 91706",Baldwin Park,Los Angeles County,91706,,1100 Baldwin Park Blvd,Baldwin Park,91706
99,100,-117.98235481500,34.09221317340,"13245 Los Angeles St, Baldwin Park, California, 91706",Baldwin Park,Los Angeles County,91706,,13245 Los Angeles St,Baldwin Park,91706
100,94,-117.95467703400,34.08637671290,"Virginia Ave, Baldwin Park, California, 91706",Baldwin Park,Los Angeles County,91706,,13502 Virginia Ave,Baldwin Park,91706
101,100,-117.97619738500,34.06681135490,"1450 Virginia Ave, Baldwin Park, California, 91706",Baldwin Park,Los Angeles County,91706,5819,1450 Virginia Ave,Baldwin Park,91706
102,100,-116.89551098100,33.92162744600,"1777 W Lincoln St, Banning, California, 92220",Banning,Riverside County,92220,4218,1777 W Lincoln St,Banning,92220
103,100,-117.00267537400,33.92668164980,"1010 W 4th St, Beaumont, California, 92223",Beaumont,Riverside County,92223,2684,1010 W 4th St,Beaumont,92223
104,95,-117.00312870200,33.93015916440,"Prosperity Way, Beaumont, California, 92223",Beaumont,Riverside County,92223,,1020 Prosperity Way,Beaumont,92223
105,100,-116.99469060500,33.92790243210,"415 Nicholas Rd, Beaumont, California, 92223",Beaumont,Riverside County,92223,2612,415 Nicholas Rd,Beaumont,92223
106,100,-116.97554399100,33.92476248740,"533 E 3rd St, Beaumont, California, 92223",Beaumont,Riverside County,92223,,533 E 3rd St,Beaumont,92223
107,100,-116.99458625000,33.92987381380,"630 Nicholas Rd, Beaumont, California, 92223",Beaumont,Riverside County,92223,2615,630 Nicholas Rd,Beaumont,92223
108,100,-116.99291573700,33.92628824520,"862 W 4th St, Beaumont, California, 92223",Beaumont,Riverside County,92223,2636,862 W 4th St,Beaumont,92223
109,100,-116.99793205500,33.92641833230,"920 W 4th St, Beaumont, California, 92223",Beaumont,Riverside County,92223,2675,920 W 4th St,Beaumont,92223
110,100,-118.15816498300,33.99376998380,"4700 Eastern Ave, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,6400,4700 Eastern Ave,Bell,90201
111,98,-118.17666630800,33.99884999430,"4901 Bandini Blvd, Los Angeles, California, 90058",Los Angeles,Los Angeles County,90058,5400,4901 Bandini Blvd,Bell,90201
112,100,-118.17306641400,33.99583763160,"5300 Lindbergh Ln, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,6415,5300 Lindbergh Ln,Bell,90201
113,100,-118.17306742000,33.99582757330,"5350 Lindbergh Ln, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,6415,5350 Lindbergh Ln,Bell,90201
114,94,-118.16799998900,33.99076006160,"Rickenbacker Rd, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,,5391 Rickenbacker Rd,Bell,90201
115,100,-118.17287966500,33.99584722890,"5400 Lindbergh Ln, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,6409,5400 Lindbergh Ln,Bell,90201
116,100,-118.16771398200,33.99415513220,"5500 Lindbergh Ln, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,6410,5500 Lindbergh Ln,Bell,90201
117,100,-118.16963176200,33.99658663850,"5553 Bandini Blvd, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,6421,5553 Bandini Blvd,Bell,90201
118,100,-118.16424085700,33.99281474020,"5600 Lindbergh Ln, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,6411,5600 Lindbergh Ln,Bell,90201
119,100,-118.16357080700,33.99436279390,"5630 Bandini Blvd, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,6407,5630 Bandini Blvd,Bell,90201
120,100,-118.16358825800,33.98929628160,"5630 Rickenbacker Rd, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,6412,5630 Rickenbacker Rd,Bell,90201
121,100,-118.16304341800,33.98930653650,"5651 Rickenbacker Rd, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,6413,5651 Rickenbacker Rd,Bell,90201
122,100,-118.15900074200,33.99130172280,"5991 Bandini Blvd, Los Angeles, California, 90040",Los Angeles,Los Angeles County,90040,,5991 Bandini Blvd,Bell,90040
123,100,-118.20436120900,33.97858762490,"6511 Salt Lake Ave, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,2126,6511 Salt Lake Ave,Bell,90201
124,100,-118.16855968800,33.99629119780,"5555 Bandini Blvd, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,,5555 Bandini Blvd,Bell Gardens,90201
125,99,-118.16390466300,33.95384003530,"8457 Eastern Ave, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,7137,8457 S Eastern Ave,Bell Gardens,90201
126,100,-117.39650747600,34.05050700250,"11260 Cedar Ave, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,3108,11260 Cedar Ave,Bloomington,92316
127,98,-117.37408825400,34.03095236600,"12050 Agua Mansa Rd, Jurupa Valley, California, 92509",Jurupa Valley,San Bernardino County,92509,,12050 Agua Mansa Rd,Bloomington,92316
128,100,-117.37898854400,34.07500093530,"1409 S Lilac Ave, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,,1409 S Lilac Ave,Bloomington,92316
129,100,-117.37898250900,34.07364901810,"1551 S Lilac Ave, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,2141,1551 S Lilac Ave,Bloomington,92316
130,100,-117.41595902400,34.06314749930,"17820 Slover Ave, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,2333,17820 Slover Ave,Bloomington,92316
131,100,-117.41144821900,34.06317193250,"18012 Slover Ave, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,2369,18012 Slover Ave,Bloomington,92316
132,100,-117.40700798900,34.07048749000,"18244 Valley Blvd, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,1736,18244 Valley Blvd,Bloomington,92316
133,100,-117.40370803400,34.06603598690,"18298 Slover Ave, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,2365,18298 Slover Ave,Bloomington,92316
134,100,-117.39540266600,34.06504734680,"18750 Orange St, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,,18750 Orange St,Bloomington,92316
135,100,-117.37572984300,34.04127826700,"315 W Resource Dr, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,,315 W Resource Dr,Bloomington,92316
136,100,-117.38327328900,34.04172452820,"3255 S Cactus Ave, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,3404,3255 S Cactus Ave,Bloomington,92316
137,100,-117.37441948500,34.04113167620,"330 Resource Dr, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,3528,330 Resource Dr,Bloomington,92316
138,97,-117.37111701500,34.04074095380,"3350 Enterprise Dr, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,3538,3350 S Enterprise Ave,Bloomington,92316
139,100,-117.36964397900,34.03917500470,"3370 Enterprise Dr, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,3538,3370 Enterprise Dr,Bloomington,92316
140,100,-117.36980952200,34.03942264800,"3375 Enterprise Dr, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,3539,3375 Enterprise Dr,Bloomington,92316
141,95,-117.38335987400,34.06052998810,"S Cactus Ave, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,,3520 S Cactus Ave,Bloomington,92316
142,100,-117.91562246100,33.92006099410,"100 S Puente St, Brea, California, 92821",Brea,Orange County,92821,3813,100 S Puente St,Brea,92821
143,100,-117.91879501100,33.92105299230,"105 S Puente St, Brea, California, 92821",Brea,Orange County,92821,3844,105 S Puente St,Brea,92821
144,100,-117.90944994300,33.92072890600,"113 Viking Ave, Brea, California, 92821",Brea,Orange County,92821,3817,113 Viking Ave,Brea,92821
145,100,-117.90683059900,33.92061478640,"114 S Berry St, Brea, California, 92821",Brea,Orange County,92821,4826,114 S Berry St,Brea,92821
146,100,-117.91933799100,33.91959898360,"1225 W Imperial Hwy, Brea, California, 92821",Brea,Orange County,92821,3729,1225 W Imperial Hwy,Brea,92821
147,100,-117.90679531100,33.92223236800,"200 N Berry St, Brea, California, 92821",Brea,Orange County,92821,3903,200 N Berry St,Brea,92821
148,100,-117.90973400600,33.92353898100,"200 N Puente St, Brea, California, 92821",Brea,Orange County,92821,,200 N Puente St,Brea,92821
149,100,-117.91568666600,33.91926865280,"205 S Puente St, Brea, California, 92821",Brea,Orange County,92821,3828,205 S Puente St,Brea,92821
150,100,-117.86117898200,33.91555500860,"250 S Kraemer Blvd, Brea, California, 92821",Brea,Orange County,92821,,250 S Kraemer Blvd,Brea,92821
151,100,-117.86216603500,33.91432253360,"2650 Orbiter St, Brea, California, 92821",Brea,Orange County,92821,6265,2650 Orbiter St,Brea,92821
152,100,-117.86260080400,33.91117781120,"2701 E Imperial Hwy, Brea, California, 92821",Brea,Orange County,92821,6713,2701 E Imperial Hwy,Brea,92821
153,100,-117.86094998800,33.91432249170,"2750 Orbiter St, Brea, California, 92821",Brea,Orange County,92821,6256,2750 Orbiter St,Brea,92821
154,100,-117.85957208700,33.91431285250,"2830 Orbiter St, Brea, California, 92821",Brea,Orange County,92821,6224,2830 Orbiter St,Brea,92821
155,100,-117.89489728300,33.92285552060,"300 E Cypress St, Brea, California, 92821",Brea,Orange County,92821,,300 E Cypress St,Brea,92821
156,100,-117.85275581000,33.91337406280,"3172 E Nasa St, Brea, California, 92821",Brea,Orange County,92821,,3172 Nasa St,Brea,92821
157,100,-117.85237236800,33.91560869470,"3200 Enterprise St, Brea, California, 92821",Brea,Orange County,92821,6238,3200 Enterprise St,Brea,92821
158,100,-117.85126998000,33.91831248720,"3300 E Birch St, Brea, California, 92821",Brea,Orange County,92821,6254,3300 E Birch St,Brea,92821
159,100,-117.85956412500,33.91567072080,"350 Ranger Ave, Brea, California, 92821",Brea,Orange County,92821,6233,350 Ranger Ave,Brea,92821
160,100,-117.85731084300,33.91399252130,"408 Saturn St, Brea, California, 92821",Brea,Orange County,92821,,408 Saturn St,Brea,92821
161,100,-117.90371873300,33.92352774920,"566 Vanguard Way, Brea, California, 92821",Brea,Orange County,92821,3928,566 Vanguard Way,Brea,92821
162,100,-117.88664714300,33.92507110910,"630 E Lambert Rd, Brea, California, 92821",Brea,Orange County,92821,4119,630 E Lambert Rd,Brea,92821
163,100,-117.91117099900,33.93038883990,"895 Columbia St, Brea, California, 92821",Brea,Orange County,92821,2917,895 Columbia St,Brea,92821
164,100,-117.99818253100,33.87798899500,"5600 Beach Blvd, Buena Park, California, 90621",Buena Park,Orange County,90621,2007,5600 Beach Blvd,Buena Park,90621
165,100,-118.01142157900,33.87933944530,"5600 Knott Ave, Buena Park, California, 90621",Buena Park,Orange County,90621,1808,5600 Knott Ave,Buena Park,90621
166,100,-117.99534316100,33.87954186830,"5609 River Way, Buena Park, California, 90621",Buena Park,Orange County,90621,1709,5609 River Way,Buena Park,90621
167,100,-118.00897255400,33.87990220630,"5650 Dolly Ave, Buena Park, California, 90621",Buena Park,Orange County,90621,,5650 Dolly Ave,Buena Park,90621
168,100,-118.01148008500,33.87187624060,"6101 Knott Ave, Buena Park, California, 90620",Buena Park,Orange County,90620,1031,6101 Knott Ave,Buena Park,90620
169,100,-118.01145544200,33.87021494740,"6201 Knott Ave, Buena Park, California, 90620",Buena Park,Orange County,90620,1010,6201 Knott Ave,Buena Park,90620
170,100,-118.02007170300,33.87053295680,"6201 Regio Ave, Buena Park, California, 90620",Buena Park,Orange County,90620,1023,6201 Regio Ave,Buena Park,90620
171,100,-118.02441243900,33.86905698750,"6230 Descanso Ave, Buena Park, California, 90620",Buena Park,Orange County,90620,1013,6230 Descanso Ave,Buena Park,90620
172,100,-118.02508232100,33.86620978070,"6250 Caballero Blvd, Buena Park, California, 90620",Buena Park,Orange County,90620,1124,6250 Caballero Blvd,Buena Park,90620
173,100,-118.02005745400,33.86968898300,"6251 Regio Ave, Buena Park, California, 90620",Buena Park,Orange County,90620,1023,6251 Regio Ave,Buena Park,90620
