ResultID,score,x,y,Match_addr,City,Subregion,Postal,PostalExt,IN_Address,IN_City,IN_Postal,walk,bike,transit
58,100,-117.85389276100,33.85953351100,"3310 E Miraloma Ave, Anaheim, California, 92806",Anaheim,Orange County,92806,1911,3310 E Miraloma Ave,Anaheim,92806,32,50,37
129,100,-117.37898250900,34.07364901810,"1551 S Lilac Ave, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,2141,1551 S Lilac Ave,Bloomington,92316,36,39,0
47,100,-117.89795357600,33.80482990010,"1771 S Lewis St, Anaheim, California, 92805",Anaheim,Orange County,92805,6439,1771 S Lewis St,Anaheim,92805,50,42,54
152,100,-117.86260080400,33.91117781120,"2701 E Imperial Hwy, Brea, California, 92821",Brea,Orange County,92821,6713,2701 E Imperial Hwy,Brea,92821,54,55,0
106,100,-116.97554399100,33.92476248740,"533 E 3rd St, Beaumont, California, 92223",Beaumont,Riverside County,92223,,533 E 3rd St,Beaumont,92223,54,30,0
121,100,-118.16304341800,33.98930653650,"5651 Rickenbacker Rd, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,6413,5651 Rickenbacker Rd,Bell,90201,36,38,0
140,100,-117.36980952200,34.03942264800,"3375 Enterprise Dr, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,3539,3375 Enterprise Dr,Bloomington,92316,9,28,0
145,100,-117.90683059900,33.92061478640,"114 S Berry St, Brea, California, 92821",Brea,Orange County,92821,4826,114 S Berry St,Brea,92821,67,74,0
6,100,-117.89691497500,33.81807251080,"1000 E Ball Rd, Anaheim, California, 92805",Anaheim,Orange County,92805,5917,1000 E Ball Rd,Anaheim,92805,50,45,40
105,100,-116.99469060500,33.92790243210,"415 Nicholas Rd, Beaumont, California, 92223",Beaumont,Riverside County,92223,2612,415 Nicholas Rd,Beaumont,92223,16,25,0
127,98,-117.37408825400,34.03095236600,"12050 Agua Mansa Rd, Jurupa Valley, California, 92509",Jurupa Valley,San Bernardino County,92509,,12050 Agua Mansa Rd,Bloomington,92316,10,16,0
159,100,-117.85956412500,33.91567072080,"350 Ranger Ave, Brea, California, 92821",Brea,Orange County,92821,6233,350 Ranger Ave,Brea,92821,38,52,0
128,100,-117.37898854400,34.07500093530,"1409 S Lilac Ave, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,,1409 S Lilac Ave,Bloomington,92316,36,39,0
137,100,-117.37441948500,34.04113167620,"330 Resource Dr, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,3528,330 Resource Dr,Bloomington,92316,4,26,0
119,100,-118.16357080700,33.99436279390,"5630 Bandini Blvd, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,6407,5630 Bandini Blvd,Bell,90201,34,39,0
53,100,-117.86863409800,33.85587883360,"2891 E Miraloma Ave, Anaheim, California, 92806",Anaheim,Orange County,92806,1804,2891 E Miraloma Ave,Anaheim,92806,43,57,35
78,100,-117.90051902500,33.81806253630,"710 E Ball Rd, Anaheim, California, 92805",Anaheim,Orange County,92805,5949,710 E Ball Rd,Anaheim,92805,48,42,44
131,100,-117.41144821900,34.06317193250,"18012 Slover Ave, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,2369,18012 Slover Ave,Bloomington,92316,9,29,0
57,100,-117.85622636700,33.85894736450,"3190 E Miraloma Ave, Anaheim, California, 92806",Anaheim,Orange County,92806,1906,3190 Miraloma Ave,Anaheim,92806,30,51,37
28,100,-117.83130891200,33.86117733340,"1265 N Van Buren St, Anaheim, California, 92807",Anaheim,Orange County,92807,1624,1265 N Van Buren St,Anaheim,92807,34,40,35
54,100,-117.91493607500,33.85957233780,"295 E Orangethorpe Ave, Anaheim, California, 92801",Anaheim,Orange County,92801,1211,295 E Orangethorpe Ave,Anaheim,92801,52,58,43
64,100,-117.83478110000,33.85922178810,"3845 E Coronado St, Anaheim, California, 92807",Anaheim,Orange County,92807,1649,3845 E Coronado St,Anaheim,92807,26,41,36
116,100,-118.16771398200,33.99415513220,"5500 Lindbergh Ln, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,6410,5500 Lindbergh Ln,Bell,90201,24,36,0
143,100,-117.91879501100,33.92105299230,"105 S Puente St, Brea, California, 92821",Brea,Orange County,92821,3844,105 S Puente St,Brea,92821,36,39,0
139,100,-117.36964397900,34.03917500470,"3370 Enterprise Dr, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,3538,3370 Enterprise Dr,Bloomington,92316,9,28,0
108,100,-116.99291573700,33.92628824520,"862 W 4th St, Beaumont, California, 92223",Beaumont,Riverside County,92223,2636,862 W 4th St,Beaumont,92223,20,17,0
39,100,-117.91024035700,33.80989902360,"1515 S Manchester Ave, Anaheim, California, 92802",Anaheim,Orange County,92802,2907,1515 S Manchester Ave,Anaheim,92802,51,44,67
174,100,-118.02333301800,33.86627746460,"6261 Caballero Blvd, Buena Park, California, 90620",Buena Park,Orange County,90620,,6261 Caballero Blvd,Buena Park,90620,28,46,23
173,100,-118.02005745400,33.86968898300,"6251 Regio Ave, Buena Park, California, 90620",Buena Park,Orange County,90620,1023,6251 Regio Ave,Buena Park,90620,30,46,25
3,100,-118.15958647000,34.07857455970,"3201 W Mission Rd, Alhambra, California, 91803",Alhambra,Los Angeles County,91803,1113,3201 W Mission Rd,Alhambra,91803,38,42,0
40,100,-117.88702298800,33.80884491550,"1540 S Page Ct, Anaheim, California, 92806",Anaheim,Orange County,92806,5801,1540 S Page Ct,Anaheim,92806,36,43,46
171,100,-118.02441243900,33.86905698750,"6230 Descanso Ave, Buena Park, California, 90620",Buena Park,Orange County,90620,1013,6230 Descanso Ave,Buena Park,90620,23,43,22
112,100,-118.17306641400,33.99583763160,"5300 Lindbergh Ln, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,6415,5300 Lindbergh Ln,Bell,90201,13,39,0
21,100,-117.84813455100,33.85737176920,"1206 N Miller St, Anaheim, California, 92806",Anaheim,Orange County,92806,1959,1206 N Miller St,Anaheim,92806,28,50,37
82,100,-117.99926835700,34.08926536700,"12339 Lower Azusa Rd, Arcadia, California, 91006",Arcadia,Los Angeles County,91006,5889,12339 Lower Azusa Rd,Arcadia,91006,29,53,0
83,100,-117.99812773700,34.09011980350,"12359 Lower Azusa Rd, Arcadia, California, 91006",Arcadia,Los Angeles County,91006,5889,12359 Lower Azusa Rd,Arcadia,91006,12,49,0
70,100,-117.80745802300,33.85951238860,"5001 E La Palma Ave, Anaheim, California, 92807",Anaheim,Orange County,92807,,5001 E La Palma Ave,Anaheim,92807,49,56,30
35,100,-117.90012890700,33.81163735190,"1455 S Allec St, Anaheim, California, 92805",Anaheim,Orange County,92805,6306,1455 S Allec St,Anaheim,92805,41,38,51
97,100,-117.92000208300,34.13629733760,"975 W 8th St, Azusa, California, 91702",Azusa,Los Angeles County,91702,2246,975 W 8th St,Azusa,91702,30,40,49
151,100,-117.86216603500,33.91432253360,"2650 Orbiter St, Brea, California, 92821",Brea,Orange County,92821,6265,2650 Orbiter St,Brea,92821,42,55,0
80,100,-117.90117637400,33.82910255240,"929 E South St, Anaheim, California, 92805",Anaheim,Orange County,92805,,929 E South St,Anaheim,92805,53,49,36
13,99,-117.84958643400,33.85440903310,"1151 Ocean Cir, Anaheim, California, 92806",Anaheim,Orange County,92806,,1151 N Ocean Cir,Anaheim,92806,19,51,37
113,100,-118.17306742000,33.99582757330,"5350 Lindbergh Ln, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,6415,5350 Lindbergh Ln,Bell,90201,13,37,0
144,100,-117.90944994300,33.92072890600,"113 Viking Ave, Brea, California, 92821",Brea,Orange County,92821,3817,113 Viking Ave,Brea,92821,49,60,0
1,100,-118.15384017200,34.08365537600,"1000 S Meridian Ave, Alhambra, California, 91803",Alhambra,Los Angeles County,91803,1215,1000 Meridian Ave,Alhambra,91803,63,47,0
163,100,-117.91117099900,33.93038883990,"895 Columbia St, Brea, California, 92821",Brea,Orange County,92821,2917,895 Columbia St,Brea,92821,49,38,0
36,100,-117.90587254700,33.80973800730,"1500 S Anaheim Blvd, Anaheim, California, 92805",Anaheim,Orange County,92805,6242,1500 S Anaheim Blvd,Anaheim,92805,59,48,60
110,100,-118.15816498300,33.99376998380,"4700 Eastern Ave, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,6400,4700 Eastern Ave,Bell,90201,41,39,0
107,100,-116.99458625000,33.92987381380,"630 Nicholas Rd, Beaumont, California, 92223",Beaumont,Riverside County,92223,2615,630 Nicholas Rd,Beaumont,92223,15,26,0
46,100,-117.94529330800,33.83519665520,"1765 W Penhall Way, Anaheim, California, 92801",Anaheim,Orange County,92801,6728,1765 Penhall Way,Anaheim,92801,56,50,36
170,100,-118.02007170300,33.87053295680,"6201 Regio Ave, Buena Park, California, 90620",Buena Park,Orange County,90620,1023,6201 Regio Ave,Buena Park,90620,28,46,25
118,100,-118.16424085700,33.99281474020,"5600 Lindbergh Ln, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,6411,5600 Lindbergh Ln,Bell,90201,32,36,0
124,100,-118.16855968800,33.99629119780,"5555 Bandini Blvd, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,,5555 Bandini Blvd,Bell Gardens,90201,35,42,0
24,100,-117.91373133600,33.85159664500,"1226 N Olive St, Anaheim, California, 92801",Anaheim,Orange County,92801,2543,1226 N Olive St,Anaheim,92801,55,51,41
146,100,-117.91933799100,33.91959898360,"1225 W Imperial Hwy, Brea, California, 92821",Brea,Orange County,92821,3729,1225 W Imperial Hwy,Brea,92821,39,39,0
104,95,-117.00312870200,33.93015916440,"Prosperity Way, Beaumont, California, 92223",Beaumont,Riverside County,92223,,1020 Prosperity Way,Beaumont,92223,4,3,0
109,100,-116.99793205500,33.92641833230,"920 W 4th St, Beaumont, California, 92223",Beaumont,Riverside County,92223,2675,920 W 4th St,Beaumont,92223,14,15,0
103,100,-117.00267537400,33.92668164980,"1010 W 4th St, Beaumont, California, 92223",Beaumont,Riverside County,92223,2684,1010 W 4th St,Beaumont,92223,4,5,0
134,100,-117.39540266600,34.06504734680,"18750 Orange St, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,,18750 Orange St,Bloomington,92316,39,41,0
141,95,-117.38335987400,34.06052998810,"S Cactus Ave, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,,3520 S Cactus Ave,Bloomington,92316,14,30,0
195,100,-118.01335134500,33.86317586710,"6880 Caballero Blvd, Buena Park, California, 90620",Buena Park,Orange County,90620,1136,6880 Caballero Blvd,Buena Park,90620,58,68,30
114,94,-118.16799998900,33.99076006160,"Rickenbacker Rd, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,,5391 Rickenbacker Rd,Bell,90201,36,37,0
153,100,-117.86094998800,33.91432249170,"2750 Orbiter St, Brea, California, 92821",Brea,Orange County,92821,6256,2750 Orbiter St,Brea,92821,33,52,0
189,100,-118.01844770900,33.87214542550,"6570 Altura Blvd, Buena Park, California, 90620",Buena Park,Orange County,90620,1040,6570 Altura Blvd,Buena Park,90620,29,47,25
190,100,-118.02859551200,33.86515986350,"6600 Valley View St, Buena Park, California, 90620",Buena Park,Orange County,90620,1145,6600 Valley View St,Buena Park,90620,33,47,20
182,100,-118.02175001100,33.87335250330,"6388 Artesia Blvd, Buena Park, California, 90620",Buena Park,Orange County,90620,1005,6388 Artesia Blvd,Buena Park,90620,24,40,24
161,100,-117.90371873300,33.92352774920,"566 Vanguard Way, Brea, California, 92821",Brea,Orange County,92821,3928,566 Vanguard Way,Brea,92821,60,68,0
176,100,-118.02545120800,33.87331968820,"6280 Artesia Blvd, Buena Park, California, 90620",Buena Park,Orange County,90620,1004,6280 Artesia Blvd,Buena Park,90620,24,41,22
164,100,-117.99818253100,33.87798899500,"5600 Beach Blvd, Buena Park, California, 90621",Buena Park,Orange County,90621,2007,5600 Beach Blvd,Buena Park,90621,67,54,40
115,100,-118.17287966500,33.99584722890,"5400 Lindbergh Ln, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,6409,5400 Lindbergh Ln,Bell,90201,20,37,0
123,100,-118.20436120900,33.97858762490,"6511 Salt Lake Ave, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,2126,6511 Salt Lake Ave,Bell,90201,81,57,0
135,100,-117.37572984300,34.04127826700,"315 W Resource Dr, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,,315 W Resource Dr,Bloomington,92316,1,14,0
193,100,-118.01334296300,33.87341247590,"6800 Artesia Blvd, Buena Park, California, 90620",Buena Park,Orange County,90620,1015,6800 Artesia Blvd,Buena Park,90620,30,53,27
130,100,-117.41595902400,34.06314749930,"17820 Slover Ave, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,2333,17820 Slover Ave,Bloomington,92316,12,0,0
154,100,-117.85957208700,33.91431285250,"2830 Orbiter St, Brea, California, 92821",Brea,Orange County,92821,6224,2830 Orbiter St,Brea,92821,33,51,0
117,100,-118.16963176200,33.99658663850,"5553 Bandini Blvd, Bell Gardens, California, 90201",Bell Gardens,Los Angeles County,90201,6421,5553 Bandini Blvd,Bell,90201,23,38,0
169,100,-118.01145544200,33.87021494740,"6201 Knott Ave, Buena Park, California, 90620",Buena Park,Orange County,90620,1010,6201 Knott Ave,Buena Park,90620,27,58,28
180,100,-118.01427503000,33.86872099890,"6311 Knott Ave, Buena Park, California, 90620",Buena Park,Orange County,90620,1021,6311 Knott Ave,Buena Park,90620,36,61,28
111,98,-118.17666630800,33.99884999430,"4901 Bandini Blvd, Los Angeles, California, 90058",Los Angeles,Los Angeles County,90058,5400,4901 Bandini Blvd,Bell,90201,42,38,0
63,100,-117.94176695800,33.83500529630,"353 N Euclid Way, Anaheim, California, 92801",Anaheim,Orange County,92801,6749,353 N Euclid Way,Anaheim,92801,51,49,36
155,100,-117.89489728300,33.92285552060,"300 E Cypress St, Brea, California, 92821",Brea,Orange County,92821,,300 E Cypress St,Brea,92821,71,75,0
132,100,-117.40700798900,34.07048749000,"18244 Valley Blvd, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,1736,18244 Valley Blvd,Bloomington,92316,33,0,0
126,100,-117.39650747600,34.05050700250,"11260 Cedar Ave, Bloomington, California, 92316",Bloomington,San Bernardino County,92316,3108,11260 Cedar Ave,Bloomington,92316,47,42,0
178,100,-118.02000246800,33.86930002080,"6300 Regio Ave, Buena Park, California, 90620",Buena Park,Orange County,90620,1026,6300 Regio Ave,Buena Park,90620,24,47,25
